"id","English","en","ru"
"DSTExam.msg02","In tests of MDR-TB-case must be at least one resistant result","In tests of MDR-TB-case must be at least one resistant result","В анализах случая МЛУ ТБ должен присутствовать хотя бы один устойчивый результат"
"DSTExam.msg03","At least one result must be given","At least one result must be given","Нет анализов для сохранения"
"DSTExam.msg05","You are entering a DST with resistant results for a TB case or presumptive TB case patient. Do you want to continue?","You are entering a DST with resistant results for a TB case or presumptive TB case patient. Do you want to continue?","Дата поступления не может быть раньше даты взятия пробы"
"DSTExam.msg4","This is a DR-TB case with no resistant result. Do you want to continue?","This is a DR-TB case with no resistant result. Do you want to continue?","Это ЛУ-ТБ  случай без результата теста на чувствительность.  Вы хотите продолжить?"
"Dashboard","Dashboard","Dashboard",""
"DeathOutcome.OTHER_CAUSES","Other causes","Other causes","Другие причины"
"DeathOutcome.TB","TB","TB","ТБ"
"DestinationFormat","Destination format","Destination format","Формат экспортируемого файла"
"DestinationFormat.CSV","CSV text file","CSV text file","CSV текстовый файл"
"DestinationFormat.EXCEL","Microsoft Excel file","Microsoft Excel file","Microsoft Excel"
"DestinationFormat.TEXT","Text file","Text file","Текстовый файл"
"DestinationFormat.XML","XML file","XML file","XML файл"
"DiagnosisSource","Diagnosis confirmed by","Diagnosis confirmed by","Диагноз подтвержден"
"DiagnosisSource.CLINICAL","Clinical","Clinical","Клинически"
"DiagnosisSource.LAB_TEST","Laboratory tests","Laboratory tests","Лабораторно"
"DiagnosisSource.OTHER","Other","Other","Рентгенологически"
"DiagnosisSource.XRAY","X-Ray","X-Ray","Другое"
"DiagnosisType","Type of diagnosis","Type of diagnosis","Тип диагноза"
"DiagnosisType.CONFIRMED","Confirmed case","Confirmed case","Подтвержденный"
"DiagnosisType.SUSPECT","Presumptive case","Presumptive case","Подозреваемый"
"Dispensing.last.date","Last dispensing date","Last dispensing date","Последняя дата выдачи"
"DisplayCaseNumber","Display case number","Display case number","Показать номер случая"
"DisplayCaseNumber.CASE_ID","Case number (System generated)","Case number (System generated)","Сгенерировано системой"
"DisplayCaseNumber.DRTB","SL Treatment TB register number","SL Treatment TB register number",""
"DisplayCaseNumber.TB","BMU TB register number","BMU TB register number",""
"DisplayCaseNumber.USER_DEFINED","Registration code (User defined)","Registration code (User defined)","Регистрационный номер (указанный пользователем)"
"DisplayCaseNumber.VALIDATION_NUMBER","Validation number (System generated)","Validation number (System generated)","Номер валидации (определен системой)"
"DrugResistanceType","Drug resistance","Drug resistance","Тип лекарственной устойчивости ТБ"
"DrugResistanceType.EXTENSIVEDRUG_RESISTANCE","Extensive drug resistance","Extensive drug resistance","Экстенсивная резистентность"
"DrugResistanceType.MONO_RESISTANCE","Monoresistance without Rif","Monoresistance without Rif","Монорезистентность"
"DrugResistanceType.MONO_RESISTANCE_RIF","Monoresistance with Rif","Monoresistance with Rif",""
"DrugResistanceType.MULTIDRUG_RESISTANCE","Multidrug resistance","Multidrug resistance","Множественная лекарственнная устойчивость"
"DrugResistanceType.POLY_RESISTANCE","Polydrug resistance without Rif","Polydrug resistance without Rif","Полирезистентность"
"DrugResistanceType.POLY_RESISTANCE_RIF","Polydrug resistance with Rif","Polydrug resistance with Rif",""
"DrugResistanceType.RIFAMPICIN_MONO_RESISTANCE","Rifampicin mono resistance","Rifampicin mono resistance",""
"DrugResistanceType.RIF_RESISTANCE","Rifampicin resistance","Rifampicin resistance","Устойчивый к рифампицину"
"DstResult","Susceptibility test result","Susceptibility test result","Результат теста на чувствительность"
"DstResult.BASELINE","Baseline","Baseline","Начальный"
"DstResult.CONTAMINATED","Contaminated","Contaminated","Загрязнение (контаминация)"
"DstResult.ERROR","Error","Error","Ошибка"
"DstResult.INTERMEDIATE","Intermediate","Intermediate","Промежуточный"
"DstResult.NOTDONE","Not done","Not done","Не проводился"
"DstResult.RESISTANT","Resistant","Resistant","Устойчив"
"DstResult.SUSCEPTIBLE","Susceptible","Susceptible","Чувствителен"
"EntityState","State","State","Состояние"
"EntityState.ACTIVE","Active","Active","Активная фаза"
"EntityState.INACTIVE","Inactive","Inactive","Пасивная фаза"
"ExamCulture.numberOfColonies","Report number of colonies","Report number of colonies","Укажите количество бактериальных колоний"
"ExamMicroscopy.numberSamplesCollected","Number of samples collected","Number of samples collected",""
"ExamStatus","Exam status","Exam status",""
"ExamStatus.ONGOING","Pending","Pending",""
"ExamStatus.PERFORMED","Performed","Performed",""
"ExamStatus.REQUESTED","Requested","Requested",""
"ExportContent","Content to export","Content to export","Экспорт данных"
"ExportContent.CASEDATA","Case data","Case data","Данные случая"
"ExportContent.EXAMS","Laboratory exam results","Laboratory exam results","Результаты лабораторных исследований"
"ExportContent.MEDEXAM","Medical examination data","Medical examination data","Данные медосмотров"
"ExportContent.REGIMENS","Treatment regimens","Treatment regimens","Схемы лечения"
"FieldValue.other","Display field to enter additional information","Display field to enter additional information","Поле для ввода дополнительной информации"
"FieldValue.otherDescription","Field label for additional information","Field label for additional information","Метка поля для дополнительной информации"
"FilterHealthUnit.BOTH","Both","Both","Обе функции"
"FilterHealthUnit.TREATMENT_UNIT","Treatment health unit","Treatment health unit","Лечебное медучреждение"
"FixedPeriod.LAST_12MONTHS","Last 12 months","Last 12 months",""
"FixedPeriod.LAST_3MONTHS","Last 3 months","Last 3 months",""
"FixedPeriod.LAST_6MONTHS","Last 6 months","Last 6 months",""
"FixedPeriod.PREVIOUS_QUARTER","Previous quarter","Previous quarter",""
"FixedPeriod.PREVIOUS_YEAR","Previous year","Previous year",""
"FollowUpType.EXAM_CULTURE","Culture","Culture","Culture"
"FollowUpType.EXAM_DST","Drug susceptibility test (DST) and line probe assay (LPA)","Drug susceptibility test (DST) and line probe assay (LPA)","Drug susceptibility test (DST) and line probe assay (LPA)"
"FollowUpType.EXAM_HIV","HIV","HIV","HIV"
"FollowUpType.EXAM_MICROSCOPY","Microscopy","Microscopy","Microscopy"
"FollowUpType.EXAM_XPERT","Xpert MTB/RIF test","Xpert MTB/RIF test","Xpert MTB/RIF test"
"FollowUpType.EXAM_XRAY","X-Ray","X-Ray","X-Ray"
"FollowUpType.MEDICAL_EXAMINATION","Medical Consultation","Medical Consultation","Medical Consultation"
"Gender","Gender","Gender","Пол"
"Gender.FEMALE","Female","Female","Женский"
"Gender.MALE","Male","Male","Мужской"
"HIVResult","HIV testing result","HIV testing result","Результат теста на ВИЧ"
"HIVResult.NEGATIVE","Negative","Negative","Отрицательный"
"HIVResult.NOTDONE","Not done","Not done","Тест не проводился"
"HIVResult.ONGOING","Pending","Pending","Результаты ожидаются"
"HIVResult.POSITIVE","Positive","Positive","Положительный"
"HealthSystem","Health System","Health System","Система здравоохранения"
"IndicatorDate.DIAGNOSIS_DATE","Diagnosis Date","Diagnosis Date","Дата установления диагноза"
"IndicatorDate.INITREATMENT_DATE","Start Treatment Date","Start Treatment Date","Дата начала лечения"
"IndicatorDate.REGISTRATION_DATE","Registration Date","Registration Date","Дата регистрации"
"IndicatorSite.PATIENTADDRESS","Patient address","Patient address","Место проживания пациента"
"IndicatorSite.TREATMENTSITE","Notification health unit site","Notification health unit site","Место прохождения лечения"
"InfectionSite","Site of Disease","Site of Disease","Локализация процесса"
"InfectionSite.BOTH","Both","Both","Оба"
"InfectionSite.EXTRAPULMONARY","Extrapulmonary","Extrapulmonary","Внелегочный ТБ"
"InfectionSite.PULMONARY","Pulmonary","Pulmonary","Легочный ТБ"
"Issue","Issue","Issue","Проблема"
"Issue.answer","Answer","Answer",""
"Issue.answered","Answered","Answered","Решена"
"Issue.closed","Closed","Closed",""
"Issue.edtanswer","Edit Answer","Edit Answer",""
"Issue.new","New issue","New issue","Не решена"
"Issue.noopenissuesmg","Congratulations, there is no open issues to take care.","Congratulations, there is no open issues to take care.",""
"Issue.notfound","No issue found","No issue found",""
"Issue.open","Open","Open",""
"Issue.openissuesmg","Open issues found. Check bellow.","Open issues found. Check bellow.",""
"Issue.textrequired","Please enter a text to this issue","Please enter a text to this issue","Добавьте текстовой комментарий к этой проблеме"
"Issue.title","Title","Title","Заголовок"
"Laboratory","Laboratory","Laboratory","Лаборатория"
"Laboratory.performCulture","Perform culture tests","Perform culture tests",""
"Laboratory.performDst","Perform DST tests","Perform DST tests",""
"Laboratory.performMicroscopy","Perform microscopy tests","Perform microscopy tests",""
"Laboratory.performXpert","Perform Xpert tests","Perform Xpert tests",""
"LocalityType","Locality type","Locality type","Административная единица"
"LocalityType.RURAL","Rural","Rural","Село"
"LocalityType.URBAN","Urban","Urban","Город"
"LogValue.fieldValue","Field value","Field value","Значение поля"
"LogValue.key","Field","Field","Поле"
"LogValue.newValue","New value","New value","Новое значение"
"LogValue.prevValue","Previous value","Previous value","Предыдущее значение"
"MedAppointmentType","Medical appointment","Medical appointment","Визит к врачу"
"MedAppointmentType.EXTRA","Extra","Extra","Внеплановый"
"MedAppointmentType.SCHEDULLED","Scheduled","Scheduled","Плановый"
"MedicalExamination","Medical consultation","Medical consultation","Консультация врача"
"MedicalExamination.BMI","BMI","BMI","ИМТ"
"MedicalExamination.addressChanged","Patient address changed?","Patient address changed?","Адрес пациента изменился?"
"MedicalExamination.bloodPression","Blood pressure","Blood pressure","Кровяное давление"
"MedicalExamination.date","Examination date","Examination date","Дата медицинского обследования"
"MedicalExamination.heartRate","Heart Rate","Heart Rate","Частота сердечных сокращений"
"MedicalExamination.height","Height","Height","Рост"
"MedicalExamination.height.unit","cm","cm","см"
"MedicalExamination.reasonNotUsingPrescMedicines","Reason","Reason","Почему?"
"MedicalExamination.respRateRest","Resp Rate (rest)","Resp Rate (rest)","Частота дыхания (состояние покоя)"
"MedicalExamination.responsible","Professional responsible for patient examination","Professional responsible for patient examination","Медработник, ответственный за осмотр больного"
"MedicalExamination.surgicalProcedure","Surgical procedure","Surgical procedure","Хирургическое вмешательство"
"MedicalExamination.surgicalProcedureDesc","Which?","Which?","Какое?"
"MedicalExamination.temperature","Temperature","Temperature","Температура"
"MedicalExamination.usingPrescMedicines","Is patient taking the prescribed medicines correctly?","Is patient taking the prescribed medicines correctly?","Пациент правильно принимает назначенные препараты?"
"MedicalExamination.weight","Weight","Weight","Вес"
"MedicalExamination.weight.unit","Kg","Kg","кг"
"Medicine","Medicine","Medicine","Препарат"
"Medicine.components","Components of the medicine","Components of the medicine","Состав препарата"
"Medicine.dosageForm","Dosage Form","Dosage Form","Лекарственная форма"
"Medicine.firstLine","1st Line","1st Line","Препарат первого ряда"
"Medicine.firstSecondLine","1st and 2nd Line","1st and 2nd Line","Препарат первого и второго ряда"
"Medicine.frequencies","Weekly available frequencies","Weekly available frequencies","Частота приема (в неделю)"
"Medicine.genericName","Generic Name","Generic Name","Международное непатентованное название (МНН)"
"Medicine.posologies","Posologies","Posologies","Дозировки"
"Medicine.secondLine","2nd Line","2nd Line","Препарат второго ряда"
"Medicine.strength","Strength","Strength","Концентрация"
"Medicine.strengthUnit","Unit","Unit","Единица измерения"
"Medicine.substances","Substances","Substances",""
"MedicineCategory","Category","Category","Тип лекарственной  формы"
"MedicineCategory.INJECTABLE","Injectable","Injectable","Инъекционная"
"MedicineCategory.ORAL","Oral","Oral","Пероральная"
"MedicineDispensing.days","Dispensing days","Dispensing days","Дни выдачи препарата"
"MedicineDispensing.msg01","It already exists a dispensing for that case on that date.","It already exists a dispensing for that case on that date.","Эта дата выдачи уже определена"
"MedicineDispensing.quantity","Dispensed quantity","Dispensed quantity","Выданное количество"
"MedicineLine","Type","Type","Тип ТБ препарата"
"MedicineLine.FIRST_LINE","First line","First line","Препарат первого ряда"
"MedicineLine.OTHER","Other","Other","Другой тип"
"MedicineLine.SECOND_LINE","Second line","Second line","Препарат второго ряда"
"MedicineReceiving","Medicine Receiving","Medicine Receiving","Получение препарата"
"MedicineReceiving.items","Items","Items","Препараты"
"MedicineReceiving.medicines","Received medicines","Received medicines","Полученные препараты"
"MedicineReceiving.receivingDate","Receiving Date","Receiving Date","Дата получения"
"MedicineUnit.minBufferStock","Minimum buffer stock","Minimum buffer stock","Минимальный резервный запас"
"MicroscopyResult","Microscopy result","Microscopy result","Микроскопия  мокроты"
"MicroscopyResult.NEGATIVE","Negative","Negative","Отрицательный"
"MicroscopyResult.NOTDONE","Not done","Not done","Не проводилась"
"MicroscopyResult.PLUS","+","+","+"
"MicroscopyResult.PLUS2","++","++","++"
"MicroscopyResult.PLUS3","+++","+++","+++"
"MicroscopyResult.POSITIVE","Scanty","Scanty","Скудный матерял"
"Movement.quantity","Quantity","Quantity","Количество"
"MovementException.NEGATIVE_STOCK","The quantity available of batch {0} in {1} is not enough for the requested value","The quantity available of batch {0} in {1} is not enough for the requested value","The quantity available of batch {0} in {1} is not enough for the requested value"
"MovementType","Movement type","Movement type","Тип  движения"
"MovementType.ADJUSTMENT","Adjustment","Adjustment","Корректировка"
"MovementType.DISPENSING","Medicine dispensing to patient","Medicine dispensing to patient","Выдача пациенту"
"MovementType.DRUGRECEIVING","Medicine receiving from source","Medicine receiving from source","Получение препарата от источника поставки"
"MovementType.INITIALIZE","Medicine management initialization","Medicine management initialization","Инициализация лекарственного менеджмента"
"MovementType.ORDERRECEIVING","Medicine order receiving","Medicine order receiving","Получение заказа"
"MovementType.ORDERSHIPPING","Order shipping","Order shipping","Заказ отправлен"
"MovementType.TRANSFERIN","Receiving from other unit","Receiving from other unit","Получение от другого учреждения"
"MovementType.TRANSFEROUT","Medicine transfer to","Medicine transfer to","Передача другому учреждению"
"NameComposition","Patient name composition","Patient name composition","Ф.И.О. пациента"
"NameComposition.FIRSTSURNAME","First name and surname in 2 separate fields","First name and surname in 2 separate fields","Имя и фамилия в 2-х отдельных полях"
"NameComposition.FIRST_MIDDLE_LASTNAME","First, middle and last name in 3 separate fields","First, middle and last name in 3 separate fields","Имя, отчество, фамилия в 3-х отдельных полях"
"NameComposition.FULLNAME","Full name in one single field","Full name in one single field","Ф.И.О. в одном поле"
"NameComposition.LAST_FIRST_MIDDLENAME","Last, first and middle name in 3 separate fields","Last, first and middle name in 3 separate fields","Фамилия, имя, отчество в 3-х отдельных полях"
"NameComposition.SURNAME_FIRSTNAME","Surname and first name in 2 separate fields","Surname and first name in 2 separate fields","Фамилия и имя в 2-х отдельных полях"
"Nationality","Nationality","Nationality","Гражданство"
"Nationality.FOREIGN","Foreign","Foreign","Не гражданин"
"Nationality.NATIVE","Native","Native","Гражданин"
"NotNull","Value is required","Value is required",""
"NotUnique","A record with the same value already exists","A record with the same value already exists","Запись с таким значением уже существует. Введите другое значение и повторите попытку."
"NotUniqueUser","Field informed is already in use by another user","Field informed is already in use by another user",""
"NotValid","Invalid value","Invalid value",""
"NotValidEmail","Not a valid e-mail","Not a valid e-mail",""
"NotValidOption","Not a valid option","Not a valid option",""
"NotValidPassword","Password length must be at least 6 characteres long and contain at least one digit and letter","Password length must be at least 6 characteres long and contain at least one digit and letter",""
"NotValidWorkspace","Invalid workspace used in operation","Invalid workspace used in operation",""
"Order","Medicine Order","Medicine Order","Заказ препаратов"
"Order.approvingDate","Approval date","Approval date","Дата утверждения"
"Order.cancelReason","Cancellation reason","Cancellation reason","Причина аннулирования заказа"
"Order.cases","Cases on order","Cases on order","Случаи ТБ на которых делается заказ"
"Order.items","Items","Items","Препараты"
"Order.new.pendingOrder","There is already a pending order for your unit. A new order can only be made \u200B\u200Bwhen the pending order is completed.","There is already a pending order for your unit. A new order can only be made \u200B\u200Bwhen the pending order is completed.","Уже существует заказ для вашего учреждения. Новый заказ может быть сделан после того как текущий заказ будет выполнен"
"Order.orderDate","Order date","Order date","Дата  заказа"
"Order.receivingDate","Receiving date","Receiving date","Дата получения"
"Order.shipAddress","Shipping address","Shipping address","Адрес получения"
"Order.shipAddressCont","Address (cont.)","Address (cont.)","Адрес (прод.)"
"Order.shipContactName","Contact name","Contact name","Имя контакта"
"Order.shipContactName.hint","Name of the person responsible for receiving the medicines","Name of the person responsible for receiving the medicines","Имя человека ответственного за получение лекарств"
"Order.shipContactPhone","Contact phone","Contact phone","Contact phone"
"Order.shipInstitutionName","receipt institution","receipt institution","Принимающее учреждение"
"Order.shipZipCode","ZIP","ZIP","индекс"
"Order.shippingDate","Shipping Date","Shipping Date","Дата отправки"
"Order.status","Order status","Order status","Статус заказа"
"Order.unitFrom","From","From","От"
"Order.unitTo","To","To","До"
"OrderItem.approvedQuantity","Approved Quantity","Approved Quantity","Утвержденное количество"
"OrderItem.batches","Batches","Batches","Серии"
"OrderItem.estimatedQuantity","Estimated Quantity","Estimated Quantity","Расчетное количество"
"OrderItem.numPatients","Cases","Cases","Случаи"
"OrderItem.quantityToShip","Quantity to ship","Quantity to ship","Количество для отправки"
"OrderItem.receivedQuantity","Received Quantity","Received Quantity","Полученное количество"
"OrderItem.requestedQuantity","Requested Quantity","Requested Quantity","Заказанное количество"
"OrderItem.shippedQuantity","Shipped Quantity","Shipped Quantity","Отправленное количество"
"OrderStatus","Order status","Order status","Статус заказа"
"OrderStatus.CANCELLED","Cancelled","Cancelled","Аннулирован"
"OrderStatus.PREPARINGSHIPMENT","Preparing shipment","Preparing shipment","Приготовление отправки"
"OrderStatus.RECEIVED","Received","Received","Получен"
"OrderStatus.SHIPPED","Shipped","Shipped","Отправлен в полном объеме"
"OrderStatus.SHIPPEDPARTIALLY","Shipped partially","Shipped partially","Отправлен частично"
"OrderStatus.WAITAUTHORIZING","Waiting for authorization","Waiting for authorization","Ожидает утверждения"
"OrderStatus.WAITSHIPMENT","Waiting for shipment","Waiting for shipment","Ожидает отправки"
"OutputSelection","Output selection","Output selection","Отбор данных на выходе"
"Patient","Patient","Patient","Пациент"
"Patient.birthDate","Birth date","Birth date","Дата рождения"
"Patient.caseNumber","Record number","Record number","Номер случая ТБ/ЛУ-ТБ"
"Patient.fatherName","Father's name","Father's name",""
"Patient.firstName","First name","First name","Имя пациента"
"Patient.fullName","Full name","Full name","Ф.И.О."
"Patient.lastName","Last name","Last name","Фамилия"
"Patient.middleName","Middle name","Middle name","Отчество"
"Patient.motherName","Mother's name","Mother's name","Имя матери"
"Patient.name","Patient name","Patient name","Имя пациента"
"Patient.securityNumber","Registration number","Registration number","Регистрационный номер"
"Patient.surname","Surname","Surname","Фамилия"
"PatientSample.dateCollected","Date sample collected","Date sample collected","Дата взятия пробы"
"PatientSample.identification","Collected sample identification","Collected sample identification","Идентификация взятой пробы"
"PatientSample.sampleNumber","Laboratory serial number","Laboratory serial number","Идентификационный номер пробы"
"PatientType.AFTER_DEFAULT","After loss to follow-up","After loss to follow-up","После перерыва в лечении"
"PatientType.CATII_FAILURE","CAT II Failure (Remain pos at 5 or 8 month/Negative patient positive at month 3)","CAT II Failure (Remain pos at 5 or 8 month/Negative patient positive at month 3)",""
"PatientType.CATII_NON_CONVERTER","CAT II Non Converter (Remain positive at month of 3)","CAT II Non Converter (Remain positive at month of 3)",""
"PatientType.CATII_RELAPSE","CAT II Relapse","CAT II Relapse",""
"PatientType.CATII_TREATMENT_AFTER_LOSS_FOLLOW_UP","Treatment after loss to follow up- CAT II","Treatment after loss to follow up- CAT II",""
"PatientType.CATI_FAILURE","CAT I Failure (Remain pos. at 5 m or later/ Negative patient positive at month 2)","CAT I Failure (Remain pos. at 5 m or later/ Negative patient positive at month 2)",""
"PatientType.CATI_NON_CONVERTER","CAT I Non Converter (Remain positive at month of 2)","CAT I Non Converter (Remain positive at month of 2)",""
"PatientType.CATI_RELAPSE","CAT I Relapse","CAT I Relapse",""
"PatientType.CATI_TREATMENT_AFTER_LOSS_FOLLOW_UP","CAT I Treatment after loss to follow up","CAT I Treatment after loss to follow up",""
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_NEW","Close Contact of DR TB With S/S - New","Close Contact of DR TB With S/S - New",""
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_PREVIOUSLY_TREATED","Close Contact of DR TB With S/S - Previously Treated","Close Contact of DR TB With S/S - Previously Treated",""
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_UNKNOWN_HISTORY","Close Contact of DR TB With S/S - Unknown History","Close Contact of DR TB With S/S - Unknown History",""
"PatientType.DRTB_OTHER_NEW","Other - New","Other - New",""
"PatientType.DRTB_OTHER_PREVIOUSLY_TREATED","Other - Previously Treated","Other - Previously Treated",""
"PatientType.DRTB_OTHER_UNKNOWN_HISTORY","Other - Unknown History","Other - Unknown History",""
"PatientType.DRTB_TRANSFER_IN","Transfer in (form another DR TB treatment initiation center)","Transfer in (form another DR TB treatment initiation center)",""
"PatientType.FAILURE_CATI","After Cat I Failure","After Cat I Failure","После неудачи по Кат I"
"PatientType.FAILURE_CATII","After Cat II Failure","After Cat II Failure","После неудачи по Кат II"
"PatientType.FAILURE_CATIV","After Cat IV Failure","After Cat IV Failure","После неудачи по Кат IV"
"PatientType.FAILURE_FT","After failure of first treatment with first-line drugs","After failure of first treatment with first-line drugs","Неудача первого  лечения"
"PatientType.FAILURE_RT","After failure of retreatment with first-line drugs","After failure of retreatment with first-line drugs","Неудача повторного  лечения"
"PatientType.HIV_INFECTED_WITHSS_NEW","HIV infected patient with TB S/S - New","HIV infected patient with TB S/S - New",""
"PatientType.HIV_INFECTED_WITHSS_PREVIOUSLY_TREATED","HIV infected patient with TB S/S - Previously Treated","HIV infected patient with TB S/S - Previously Treated",""
"PatientType.HIV_INFECTED_WITHSS_UNKNOWN_HISTORY","HIV infected patient with TB S/S - Unknown History","HIV infected patient with TB S/S - Unknown History",""
"PatientType.NEW","New","New","Новый"
"PatientType.OTHER","Other","Other","Другой"
"PatientType.OTHERNEG","Other (-)","Other (-)","Другой (-)"
"PatientType.OTHERPOS","Other (+)","Other (+)","Другой (+)"
"PatientType.OTHER_NONDOTS","Other Non-DOTS","Other Non-DOTS","Другой (не-ДОТС)"
"PatientType.OTHER_PREVIOUSLY_TREATED","Other previously treated","Other previously treated",""
"PatientType.PREVIOUSLY_TREATED","Previously treated","Previously treated",""
